family_clean,unique_files,training_months,eligible
genasep,1,1,False
gendwndrop,1,1,False
golroted,1,1,False
goznym,1,1,False
graftor,1,1,False
gravityrat,1,1,False
histboader,1,1,False
hpbladabi,1,1,False
hpgen,1,1,False
imwee,1,1,False
installcore,1,1,False
istartsurf,1,1,False
kaicorn,1,1,False
kazy,1,1,False
keylogger,1,1,False
korpode,1,1,False
krol,1,1,False
lamer,1,1,False
ldpinch,1,1,False
locky,1,1,False
lore,1,1,False
lydra,1,1,False
madangel,1,1,False
maener,1,1,False
malagent,1,1,False
mandaph,1,1,False
mansabo,1,1,False
masson,1,1,False
mewsei,1,1,False
nanobot,1,1,False
neshta,1,1,False
netstream,1,1,False
nohad,1,1,False
palevo,1,1,False
phoetel,1,1,False
pidgeon,1,1,False
poison,1,1,False
portop,1,1,False
prepscram,1,1,False
presenoker,1,1,False
qhosts,1,1,False
ranos,1,1,False
redaman,1,1,False
redosdru,1,1,False
registrydisabler,1,1,False
reveton,1,1,False
rimecud,1,1,False
ritros,1,1,False
roxer,1,1,False
ryuk,1,1,False
scar,1,1,False
sephish,1,1,False
sessa,1,1,False
shakblades,1,1,False
shipup,1,1,False
sixer,1,1,False
sohana,1,1,False
spiliwan,1,1,False
stealer,1,1,False
stormattack,1,1,False
sysn,1,1,False
teerac,1,1,False
tockt,1,1,False
trojanx,1,1,False
uacskip,1,1,False
uphosyfs,1,1,False
userstartup,1,1,False
uwasson,1,1,False
vawtrak,1,1,False
vbinder,1,1,False
vbkrypt,1,1,False
vbna,1,1,False
verst,1,1,False
virtob,1,1,False
vmprotbad,1,1,False
vools,1,1,False
vundo,1,1,False
wacapew,1,1,False
waski,1,1,False
wkysol,1,1,False
zemot,1,1,False
