family,n_files,n_months,eligible_provisional
agentst,1,1,False
agenttesla,1,1,False
qhosts,1,1,False
redaman,1,1,False
redosdru,1,1,False
gravityrat,1,1,False
crysan,1,1,False
pidgeon,1,1,False
phoetel,1,1,False
palevo,1,1,False
debris,1,1,False
delfinject,1,1,False
histboader,1,1,False
cve-2017-0147,1,1,False
goznym,1,1,False
graftor,1,1,False
shipup,1,1,False
shakblades,1,1,False
sessa,1,1,False
sephish,1,1,False
ryuk,1,1,False
scar,1,1,False
roxer,1,1,False
cardspy,1,1,False
bluteal,1,1,False
cabren,1,1,False
bundpil,1,1,False
browserpassview,1,1,False
bobax,1,1,False
reveton,1,1,False
rimecud,1,1,False
ritros,1,1,False
registrydisabler,1,1,False
gamehack,1,1,False
gaobot,1,1,False
golroted,1,1,False
genasep,1,1,False
gendwndrop,1,1,False
gate,1,1,False
gc13003b,1,1,False
prepscram,1,1,False
presenoker,1,1,False
poison,1,1,False
portop,1,1,False
ranos,1,1,False
emptybuilder,1,1,False
sohana,1,1,False
bitrep,1,1,False
tockt,1,1,False
teerac,1,1,False
stormattack,1,1,False
sysn,1,1,False
eyestye,1,1,False
explorerhijack,1,1,False
floxif,1,1,False
sixer,1,1,False
bedep,1,1,False
bayrob,1,1,False
bankerx,1,1,False
stealer,1,1,False
spiliwan,1,1,False
wkysol,1,1,False
discord,1,1,False
trojanx,1,1,False
uphosyfs,1,1,False
uacskip,1,1,False
dyzap,1,1,False
elenoocka,1,1,False
dotdo,1,1,False
waski,1,1,False
atraps,1,1,False
asacky,1,1,False
bagsu,1,1,False
baffec,1,1,False
baff,1,1,False
azorult,1,1,False
autoitshellinj,1,1,False
3636hl13,1,1,False
agen,1,1,False
zemot,1,1,False
